title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor
Colossal	2016	R	17	109	Action; Comedy; Drama	Nacho Vigalondo	Anne Hathaway; Jason Sudeikis; Austin Stowell; Tim Blake Nelson	Gloria (Anne Hathaway) is an out-of-work girl who after getting kicked out of her apartment by her boyfriend is forced to leave her life in New York and move back to her hometown When news reports surface that a giant creature is destroying Seoul South Korea Gloria gradually comes to the realization that she is somehow connected to this far-off phenomenon As events begin to spin out of control Gloria must determine why her seemingly insignificant existence has such a colossal effect on the fate of the world	English; Korean	Canada; USA; Spain; South Korea	3 wins & 4 nominations	6.2	80	70	3027134	NEON	7-Apr-17	2017	4	197119	220	2580	173	15000000	3029287	Neon
Java Heat	2013	R	17	104	Action; Crime; Drama	Conor Allyn	Kellan Lutz; Ario Bayu; Mickey Rourke; Verdi Solaiman	Story centers on the aftermath of a suicide bombing in Indonesia where a reckless American posing as a grad student is bent on vengeance but quickly finds that the worlds problems cant be solved with violence alone A mysterious American Marine/FBI agent Jake Travers (Kellan Lutz) teams with a Muslim cop Hashim (Ario Bayu) to hunt down a dangerous international jewel thief Malik (Mickey Rourke) who kidnaps a Sultans daughter Sultana (Atiqah Hasiholan) in a plot to steal the royal treasury: exotic intrigue amid ancient palaces mosques temples subterranean labyrinths and stone pyramids in the heart of Java	English; Indonesian	USA	N/A	5.2	8	35	N/A	IFC Films	10-May-13	2013	5	795658	323	1151	179	15000000	1061	IFC
Same Kind of Different as Me	2017	PG-13	13	119	Drama	Michael Carney	Greg Kinnear; Renée Zellweger; Djimon Hounsou; Jon Voight	International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife a woman whose dreams will lead all three of them on the journey of their lives	English	USA	N/A	6.3	38	49	6410279	Paramount Pictures	20-Oct-17	2017	10	483367	171	1094	181	15000000	6423605	Pure Flix
Stand Up Guys	2012	R	17	95	Comedy; Crime; Thriller	Fisher Stevens	Al Pacino; Christopher Walken; Alan Arkin; Julianna Margulies	After 28 years Val gets out of prison and his friend Doc picks him up The local mob boss Claphands wants Val dead (Claphands son died in a robbery and he blames Val) and Doc has until morning to kill him Its a long night: Val wants to party - they visit a cat house Val needs Viagra they break into a pharmacy After midnight they pick up Hirsch their old wheelman drive the city in a stolen car They visit the cat house help a woman in distress bury a body and eat at Docs hangout a café where the waitress Alex is cheerful The sun rises Claphands wants Val dead and Val who has figured out his fate is resigned Is there anything left to take care of?	English; Belarusian	USA	N/A	6.5	37	41	3301046	Lionsgate	14-Dec-12	2012	12	65128				15000000	3310031	Lionsgate
The Woman in Black 2: Angel of Death	2014	PG-13	13	98	Drama; Horror; Thriller	Tom Harper	Phoebe Fox; Merryn Pearse; Mary Roscoe; Helen McCrory	40 years after Arthur Kipps experience at Eel Marsh house a group of children under the care of two women escaping from war-torn London arrive to the house and become the next target for the ghost of Jennette Humfrye otherwise known as The Woman in Black With the help of a fellow soldier the women and children must fend off the spirit of Jennette Humfrye and end her presence once and for all	English	UK; USA; Canada	2 wins & 2 nominations	4.9	22	42	N/A	Relativity Media	2-Jan-15	2015	1	46919	21	80	1	15000000	26501323	Relativity
The Texas Chainsaw Massacre: The Beginning	2006	R	17	91	Horror	Jonathan Liebesman	Jordana Brewster; Taylor Handley; Diora Baird; Matt Bomer	In August 1939 a worker goes into labor while working in a slaughterhouse and dies after a complicated labor though the deformed child survives The possibly orphaned baby is dumped in a garbage container and found by a beggar later who brings him home Along the years the mentally retarded and disturbed boy called Thomas is raised by the Hewitt family in spite of having psychological problems as well as suffering from an unnamed skin disorder later working in a meat packing plant In July 1969 when the facility is closed the inhabitants move to other places but the deformed mentally childlike Thomas flies into a rage after being insulted and kills the foreman His deranged brother (considered his uncle due to their age difference) executes the sheriff that is going to arrest Thomas and assumes his identity wearing his clothesdriving his car though the roads in Texas and entitling himself as Sheriff Hoyt Meanwhile the brothers Eric and Dean are traveling in a Jeep with their girlfriends Christie and Bailey Eric to serve in Vietnam and Dean escaping to Mexico When the group has a car accident Hoyt arrests Eric Dean and Bailey and brings them to his house Christie follows them trying to rescue the trio trapped in the house of sadistic and insane cannibals in a trip of horror and gore	English	USA	5 nominations	5.9	12	30	39418953	New Line Cinema	6-Oct-06	2006	10	585118	343	1469	93	16000000	39517763	New Line
The Lookout	2007	R	17	99	Crime; Drama; Thriller	Scott Frank	Joseph Gordon-Levitt; Jeff Daniels; Matthew Goode; Isla Fisher	An admired high school hockey player with a bright future foolishly takes a drive in the night with his girlfriend and two other friends with his headlights off with devastating results The former athlete is left with a brain injury that prevents him from remembering many things for extended periods of time To compensate he keeps notes in a small notebook to aid him in remembering what he is to do He also lives with a blind friend who aids him Obviously with the mental incapacitation he is unable to have meaningful work Thus he works as a night cleaning man in a bank It is there he comes under the scrutiny of a gang planning to rob the bank The leader befriends him and gets him involved with a young woman who further reels him in After they get close and after reeling him in with his own failures the bank plan unfolds Confused but wanting to escape his current existence he initially goes along with the scheme After realizing he is being used he attempts to stop the robbery which of course immediately goes awry	English	USA	1 win & 11 nominations	7.1	87	73	4538656	Miramax	30-Mar-07	2007	3	54507	3	32	5	16000000	4600585	Miramax
The Messengers	2007	PG-13	13	90	Horror; Mystery; Thriller	Danny Pang; Oxide Chun Pang	Kristen Stewart; Dylan McDermott; Penelope Ann Miller; John Corbett	Its been six years since the Rollins family just up and left and now the troubled Solomon family has come from Chicago to rebuild their lives following their sons hospitalization due to their daughters drunk driving accident But as they start to settle in something odd and strange begins to occur to their son Could something supernatural be at work and did the previous family just leaveor are they still here? Trapped in the only place theyve ever known? And what did cause their deaths? Most of allis this killer still very much alive?	English	USA	1 win & 2 nominations	5.4	12	34	35374833	Screen Gems	2-Feb-07	2007	2	101424	14	428	27	16000000	35374833	Sony / Screen Gems
A Mighty Heart	2007	R	17	108	Biography; Drama; History	Michael Winterbottom	Dan Futterman; Angelina Jolie; Archie Panjabi; Mohammed Afzal	On January 23 2002 Wall Street Journal reporter Daniel Pearl is to fly from Karachi to Dubai with his pregnant wife Mariane also a reporter On the day before with great care he has arranged an interview in a café with an Islamic fundamentalist cleric When Danny doesnt return Mariane initiates a search Pakistani police American embassy personnel and the FBI examine witnesses phone records e-mails and hard drives Who has him? Where is he? Theres also the why: because of US abuse of prisoners at Guantanamo because of a history of Journal cooperation with the CIA because Pearl is a Jew? Through it all Mariane is clearheaded direct and determined	English; French; Urdu; Arabic	USA; UK	Nominated for 1 Golden Globe Another 4 wins & 17 nominations	6.7	79	74	9093521	Paramount Vantage	22-Jun-07	2007	6	22794	4	15	1	16000000	9176787	Paramount Vantage
The Roommate	2011	PG-13	13	91	Drama; Thriller	Christian E. Christiansen	Leighton Meester; Minka Kelly; Cam Gigandet; Aly Michalka	Fresh from Des Moines Iowa Sara Matthews has just landed in Los Angeles as a college freshman studying fashion design She meets handsome Stephen party-lover Tracy and roommate Rebecca Rebecca is nice sweet and ready to share everything with Sara It could be the beginning of a beautiful friendship But Tracy is convinced that theres something seriously wrong with Rebecca and bad things start happening to everyone close to Sara If Sara is to have a normal college experience shes going to have to get to the bottom of whats up with Rebecca and quickly get out of her clutches	English	USA	7 nominations	4.9	4	23	37300107	Sony Pictures/Screen Gems	4-Feb-11	2011	2	953853	406	1827	160	16000000	37300107	Sony / Screen Gems
Moonrise Kingdom	2012	PG-13	13	94	Adventure; Comedy; Drama	Wes Anderson	Bruce Willis; Edward Norton; Bill Murray; Frances McDormand	Set on an island off the coast of New England in the 1960s as a young boy and girl fall in love they are moved to run away together Various factions of the town mobilize to search for them and the town is turned upside down - which might not be such a bad thing	English	USA	Nominated for 1 Oscar Another 38 wins & 118 nominations	7.8	93	84	45507865	Focus Features	25-May-12	2012	5	1974780	630	8316	139	16000000	45512466	Focus Features
People Like Us	2012	PG-13	13	114	Comedy; Drama	Alex Kurtzman	Chris Pine; Elizabeth Banks; Michael Hall D'Addario; Michelle Pfeiffer	Workaholic and sleazy businessman Sam is extremely reluctant to leave New York and go to his fathers funeral When he finally arrives it becomes apparent that his mother and girlfriend are disappointed in him for running away whenever times get too emotional Soon afterwards he discovers that his father was sleeping around with another woman and that Sam actually has a half-sister whom he never knew existed His father has willed her $150000 and has left Sam with the task of getting it to her Frankie is a bartender also wrapped up in work just like her half-brother and she has had a bad past and has now been left with the job of being a single parent to her troublemaker son Josh Josh is eleven years old but curses like a sailor and constantly makes fart jokes and sex jokes making him popular with the bad kid crowd at school although behind the act Josh is depressed and lonely Now Sam has to find a way to fix the past and reunite his mom nephew and half-sister together at last but it wont be easy	English; Spanish	USA	N/A	7.1	53	49	12431792	Dreamworks Pictures	29-Jun-12	2012	6	2107802	514	2330	232	16000000	12434778	Buena Vista
Things We Lost in the Fire	2007	R	17	118	Drama	Susanne Bier	Halle Berry; Benicio Del Toro; David Duchovny; Alexis Llewellyn	Grief recovery and human contact Brian is a great guy - a sweet father a good husband and a loyal friend to his boyhood pal Jerry whos a junkie When tragedy strikes Jerry tries to help Brians wife and children cope and Audrey Brians widow tries to help Jerry kick the habit Loss and addiction are stubborn The story starts on the day of the funeral with Brian appearing in flashbacks A neighbors divorce a dinner party that includes a young woman from the Narcotics Anonymous group Jerry attends and thinking back to a fire in Brian and Audreys garage give the story texture	English	USA; UK; Canada	4 wins & 1 nomination	7.2	65	63	3241832	DreamWorks/Paramount Studios	19-Oct-07	2007	10	45686	13	76	5	16000000	3287315	Paramount (DreamWorks)
Vicky Cristina Barcelona	2008	PG-13	13	96	Drama; Romance	Woody Allen	Rebecca Hall; Scarlett Johansson; Chris Messina; Patricia Clarkson	Sexually adventurous Cristina and her friend Vicky who is bright but cautious holiday in Barcelona where they meet the celebrated and wholly seductive painter Juan Antonio Vicky is not about to dive into a sexual adventure being committed to her forthcoming marriage But Cristina is immediately captivated by Juan Antonios free spirit and his romantic allure is enhanced when she hears the delicious details of his divorce from fellow artist the tempestuous Maria Elena	English; Spanish	Spain; USA	Won 1 Oscar Another 31 wins & 53 nominations	7.1	81	70	23164041	The Weinstein Co.	15-Aug-08	2008	8	1093970	80	1462	99	16000000	23216709	MGM (Weinstein)
The Homesman	2014	R	17	122	Drama; Western	Tommy Lee Jones	Tommy Lee Jones; Hilary Swank; Grace Gummer; Miranda Otto	Three women who have been driven mad by pioneer life are to be transported across the country by covered wagon by the pious independent-minded Mary Bee Cuddy who in turn employs low-life drifter George Briggs to assist her	English; Danish	USA; France	5 wins & 14 nominations	6.6	81	68	N/A	Roadside Attractions	14-Nov-14	2014	11	59002	1	107	7	16000000	2429989	Saban Films
Left Behind	2014	PG-13	13	110	Action; Drama; Fantasy	Vic Armstrong	Nicolas Cage; Chad Michael Murray; Cassi Thomson; Nicky Whelan	A small group of survivors are left behind after millions of people suddenly vanish and the world is plunged into chaos and destruction	English	USA; Canada	4 nominations	3.1	1	12	10649893	Freestyle Releasing	3-Oct-14	2014	10	7044292	6844	13436	2650	16000000	4224065	Cloud Ten
The Ice Harvest	2005	R	17	92	Comedy; Crime; Drama	Harold Ramis	John Cusack; Billy Bob Thornton; Lara Phillips; Bill Noble	Larceny lust and lethal behavior In icebound Wichita Kansas its Christmas Eve and this year Charlie Arglist just might have something to celebrate Charlie an attorney for the sleazy businesses of Wichita and his unsavory associate the steely Vic Cavanaugh have just successfully embezzled $2 million from Kansas City boss Bill Guerrard But the real prize for Charlie is the stunning Renata who runs the Sweet Cage strip club Charlie hopes to slip out of town with Renata But as daylight fades and an ice storm whirls everyone from Charlies drinking buddy Pete Van Heuten to the local police begin to wonder just what exactly is in Charlies Christmas stocking - and the 12 hours of Christmas Eve are filled with surprises	English	USA	2 nominations	6.3	N/A	62	N/A	N/A	23-Nov-05	2005	11	138461	37	99	13	16000000	9016782	Focus Features
The Young Messiah	2016	PG-13	13	111	Drama; Fantasy	Cyrus Nowrasteh	Adam Greaves-Neal; Sara Lazzaro; Vincent Walsh; Finn Ireland	At the age of 7 Jesus Bar-Joseph lives with his family in Alexandria Egypt where they have fled to avoid a massacre of children by King Herod of Israel Jesus knows that his parents Joseph and Mary have secrets they are keeping from him secrets about his birth and about traits that make him very different from other boys His parents however believe him too young to grasp the truth of his miraculous birth and purpose Learning that the murderous Herod is dead they set out to return to their home of Nazareth in Israel unaware that Herods namesake son is like his father determined to see the boy Jesus dead	English	USA	N/A	5.5	46	33	N/A	Focus Features	11-Mar-16	2016	3	471504	616	950	115	16800000	6490401	Focus Features
Magic in the Moonlight	2014	PG-13	13	97	Comedy; Romance	Woody Allen	Colin Firth; Antonia Clarke; Natasha Andrews; Valérie Beaulieu	Stanley is a magician who has dedicated his life to revealing fraudulent spiritualists He plans to quickly uncover the truth behind celebrated spiritualist Sophie and her scheming mother However the more time he spends with her he starts thinking that she might actually be able to communicate with the other world but even worse he might be falling in love with her	English; French	USA; UK	1 win & 1 nomination	6.6	51	54	N/A	Sony Pictures Classics	25-Jul-14	2014	7	2117076	327	3106	342	16800000	10539326	Sony Classics
