title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
Racing Stripes|2005|PG|Fri Jan 14 2005 00:00:00 GMT-0500 (EST)|102 min|Adventure; Comedy; Drama|Frederik Du Chau|Bruce Greenwood; Hayden Panettiere; Caspar Poyck; Gary Bullock|In the middle of a raging thunderstorm a traveling circus accidentally leaves behind some very precious cargo--a baby zebra The gangly little foal is rescued by horse farmer Nolan Walsh who takes him home to his young daughter Channing Once a champion thoroughbred trainer Walsh has given up horse training for a quiet life with Channing on their modest Kentucky farm The little zebra or Stripes as Channing calls him is soon introduced to the farms misfit troupe of barnyard residents led by a cranky Shetland Pony named Tucker and Franny a wise old goat who keeps the family in line The group is joined by Goose a deranged big-city pelican whos hiding out in the sticks until the heat dies down in Jersey The un-aptly named bloodhound Lightening keeps a lazy eye on goings-on at the farm - in between naps The Walsh farm borders the Turfway Racetrack where highly skilled thoroughbreds compete for horse racings top honor the ultra-prestigious Kentucky Crown From the first moment Stripes lays eyes on the track hes hooked--he knows that if he could just get the chance he could leave all those other horses in the dust What he doesnt know is--hes not exactly a horse But with characteristic zeal he devotes himself to training for the big time with a little help from Tucker who has coached a host of champion racehorses in the past|English|USA|3 nominations|5.2/10|35%|43/100|43|5.2|movie|$49,186,871|Warner Bros. Pictures|Racing Stripes|14-Jan-05|Adventure, Drama, Sport, Comedy, Family|43|Racing Stripes|61207|0|5|126|3
Rent|2005|PG-13|Wed Nov 23 2005 00:00:00 GMT-0500 (EST)|135 min|Drama; Musical; Romance|Chris Columbus|Anthony Rapp; Adam Pascal; Rosario Dawson; Jesse L. Martin|This rock opera tells the story of one year in the life of a group of bohemians struggling in modern day East Village New York The story centers around Mark and Roger two roommates While a former tragedy has made Roger numb to life Mark tries to capture it through his attempts to make a film In the year that follows the group deals with love loss AIDS and modern day life in one truly powerful story|English|USA|1 win & 21 nominations|7.0/10|46%|53/100|53|7|movie|$29,077,547|Sony Pictures|Rent|23-Nov-05|Drama, Romance, Musical|53|Rent|202438|0|||
Rumor Has It...|2005|PG-13|Sun Dec 25 2005 00:00:00 GMT-0500 (EST)|97 min|Comedy; Drama; Romance|Rob Reiner|Jennifer Aniston; Kevin Costner; Shirley MacLaine; Mark Ruffalo|Hunky NY lawyer Jeff Daly has finally got engaged to fickle Sarah Huttinger who presents him to her Pasadena family who all soon take to him for her sisters wedding to Scott But Jeffs clever counting makes Sarah realize her dad Earl isnt her biological father Once movie clues from family indicate as suspect success author Beau Burroughs she insists to get to meet him Only like her mother and grandmother she has a one night-stand with Beau which may well cost her Jeff|English; Spanish|USA; Germany; Australia|N/A|5.5/10|20%|35/100|35|5.5|movie|$42,900,000|Warner Bros. Pictures|Rumor Has It...|25-Dec-05|Comedy, Romance|35|Rumor Has It...|110293|0|5|239|11
The Prize Winner of Defiance, Ohio|2005|PG-13|Fri Jun 01 2007 00:00:00 GMT-0400 (EDT)|99 min|Biography; Drama|Jane Anderson|Julianne Moore; Woody Harrelson; Laura Dern; Trevor Morgan|Kelly and Evelyn Ryan live in Defiance Ohio with their 10 children At first glance their life seems idyllic they call each other Mother and Father and seem to dote on the kids But Kelly was a garage-band crooner whose voice was ruined in an auto accident Hes resigned to a dead-end factory job that barely pays the bills and is given to fits of alcohol-induced rage Evelyn a stay-at-home wife and mother deals with this abuse by appealing to her priest who is no help at all She deals with their poverty by entering the jingle contests that were the rage in the 50s and early 60s even sending in multiple entries in the names of the children She is very clever at it winning more than her share of prizes but her successes arent enough to keep the wolf from the door Further they trigger Kellys insecurities and he retreats deeper into the bottle using food and mortgage money to support the habit Can the loving optimistic Evelyn hold the family together? Is she justified in placing her faith in the deeply-flawed Kelly? How will the children turn out? This underrated film provides an inspirational answer to these questions|English|USA|1 win & 1 nomination|7.3/10|58%|58/100|58|7.3|movie|$440,994|Dreamworks Distribution LLC|The Prize Winner of Defiance, Ohio|30-Sep-05|Biography, Drama|58|The Prize Winner of Defiance, Ohio|55934|0|16|134|2
Red Eye|2005|PG-13|Fri Aug 19 2005 00:00:00 GMT-0400 (EDT)|85 min|Mystery; Thriller|Wes Craven|Rachel McAdams; Cillian Murphy; Brian Cox; Laura Johnson|This is the story of a young resourceful heroine named Lisa Reisert who hates to fly but the terror that awaits her on the night flight to Miami has nothing to do with a fear of flying! Upon boarding the plane Lisa is trapped on a red-eye flight with a creepy villainous handsome and charming man by the name of Jackson Rippner whos playing middle-man in the plot to assassinate a Homeland Security official Hes got her father pinned down by a would-be killer using that advantage to coerce Lisa into phoning the luxury resort where she works and arranging to move the target into a pre-set position|English; Russian|USA|2 wins & 9 nominations|6.5/10|79%|71/100|71|6.5|movie|$57,859,105|Dreamworks|Red Eye|19-Aug-05|Thriller|71|Red Eye|4035984|0|1354|6624|360
The Ring Two|2005|PG-13|Fri Mar 18 2005 00:00:00 GMT-0500 (EST)|110 min|Horror; Mystery|Hideo Nakata|Naomi Watts; Simon Baker; David Dorfman; Elizabeth Perkins|A high school student named Jake tries to make his girlfriend Emily watch a cursed tape But then Jake finds out that Emily covered her eyes and didnt watch the tape and then Jake is killed by Samara Morgan (from the first The Ring movie) Rachel Keller learns of Jakes death and finds his twisted body in the back of an ambulance Rachel then realizes she once again has to save her son Aidan from Samara the evil ghost child|English|USA|2 wins & 11 nominations|5.4/10|19%|44/100|44|5.4|movie|$75,888,270|Dreamworks Distribution LLC|The Ring Two|18-Mar-05|Drama, Mystery, Thriller, Horror|44|The Ring Two|11732|0|2|35|3
Flightplan|2005|PG-13|Fri Sep 23 2005 00:00:00 GMT-0400 (EDT)|98 min|Drama; Mystery; Thriller|Robert Schwentke|Jodie Foster; Peter Sarsgaard; Sean Bean; Kate Beahan|The husband of aviation engineer Kyle Pratt has just died in Berlin Now she is flying back to New York with his coffin and their six-year-old daughter Julia Three hours into the flight Kyle awakens to find that Julia is gone! Its a big double-decker plane so very concerned mother has a lot of territory to cover in order to find her daughter But as Kyle fights to discern the truth she takes matters into her own hands|English; French; German; Arabic; Italian; Japanese|USA|2 wins & 6 nominations|6.3/10|37%|53/100|53|6.3|movie|$89,602,378|Touchstone Pictures|Flightplan|23-Sep-05|Drama, Mystery, Thriller|53|Flightplan|1051507|0|292|1524|86
Shopgirl|2005|R|Fri Nov 04 2005 00:00:00 GMT-0500 (EST)|106 min|Drama; Romance|Anand Tucker|Steve Martin; Claire Danes; Jason Schwartzman; Bridgette Wilson-Sampras|Twenty-something native Vermonter Mirabelle Buttersfield having recently graduated from college is finding her new life in Los Angeles not quite what she was expecting or hoping An aspiring artist she is barely eking out a living working as a clerk at the womens evening gloves counter at Saks Fifth Avenue in Beverly Hills and thus she can barely make the payments on her massive student loans She treats her job with a certain distance often daydreaming as she watches the life of the rich as they shop at the store She has made no friends including from among her Saks colleagues and thus lives a solitary existence which does not assist in her dealing with her chronic clinical depression So it is with some surprise that two men with a romantic interest in her enter her life almost simultaneously The first is poor slacker Jeremy who works as an amplifier salesman/font designer Mirabelle continues dating Jeremy as only a relief to her solitary life as Jeremy doesnt seem to understand how to treat her in the way she wants Shortly after meeting Jeremy she meets the second wealthy fifty-something Ray Porter who is the antithesis of Jeremy in almost every respect including the fact that Ray is unwilling or unable to commit to Mirabelle about which he is up front to her To Mirabelle that lack of commitment from Ray seems to be in name only and as such she increasingly sees Ray as her boyfriend Mirabelle has to decide if a long term future is either in the cards with Jeremy or Ray which is made all the more complicated by an action by Jeremy to an off the cuff comment that she makes to him|English; Japanese|USA|1 win & 7 nominations|6.4/10|60%|62/100|62|6.4|movie|$10,082,747|Touchstone Pictures|Shopgirl|21-Oct-05|Drama, Romance|62|Shopgirl|454796|0|96|478|26
Shadowboxer|2005|R|Fri Jul 14 2006 00:00:00 GMT-0400 (EDT)|93 min|Action; Crime; Drama|Lee Daniels|Cuba Gooding Jr.; Helen Mirren; Vanessa Ferlito; Macy Gray|Mikey and Rose are professional assassins They are also lovers and once upon a time Rose also knew Mikeys father During an elaborate hit job for a malicious gangster Rose fails to kill the main target the gangsters pregnant girlfriend Instead she delivers her baby and convinces Mikey to help her protect them both As Rose weakens from cancer Mikey becomes breadwinner for this unusual family But tranquility will not last|English|USA|1 win & 2 nominations|5.6/10|18%|33/100|33|5.6|movie|$317,695|Freestyle Releasing|Shadowboxer|21-Jul-06|Drama, Thriller, Crime|33|Shadowboxer|7430|0|0|5|0
Sky High|2005|PG|Fri Jul 29 2005 00:00:00 GMT-0400 (EDT)|100 min|Adventure; Comedy; Family|Mike Mitchell|Michael Angarano; Kurt Russell; Kelly Preston; Danielle Panabaker|It all begins when young Will Stronghold the son of the two famous superheroes: Steve and Josie AKA the incredibly strong seemingly invulnerable Commander and and the high-speed flying Jetstream However Will does not actually know if he has any powers of his own and has not told his parents this He and his best friend Layla are facing their first day of a secret school in the clouds like none on earth: Sky High the first and only high school for kids with super-human powers going through crime-fighting puberty But with no apparent superpowers of his own however Will seems destined to grow up a mere sidekick But as he discovers his true strengths hell also learn that it takes loyalty and teamwork to truly become a hero!|English; Cantonese|USA|1 nomination|6.2/10|73%|62/100|62|6.2|movie|$63,939,454|Buena Vista|Sky High|29-Jul-05|Adventure, Sci-Fi, Comedy, Family|62|Sky High|1457067|0|451|1566|121
Robots|2005|PG|Fri Mar 11 2005 00:00:00 GMT-0500 (EST)|91 min|Animation; Adventure; Comedy|Chris Wedge; Carlos Saldanha(co-director)|Paula Abdul; Halle Berry; Lucille Bliss; Terry Bradshaw|Even in a world populated entirely by mechanical beings Rodney Copperbottom is considered a genius inventor Rodney dreams of two things making the world a better place and meeting his idol the master inventor Bigweld On his journey he encounters Cappy a beautiful executive bot with whom Rodney is instantly smitten the nefarious corporate tyrant Ratchet who locks horns with Rodney and a group of misfit bots known as the Rusties led by Fender and Piper Pinwheeler|English; Italian|USA|2 wins & 22 nominations|6.3/10|63%|64/100|64|6.3|movie|$128,107,031|20th Century Fox|Robots|11-Mar-05|Adventure, Sci-Fi, Comedy, Romance, Animation, Family|64|Robots|467147|0|235|397|47
The Squid and the Whale|2005|R|Fri Dec 16 2005 00:00:00 GMT-0500 (EST)|81 min|Comedy; Drama|Noah Baumbach|Owen Kline; Jeff Daniels; Laura Linney; Jesse Eisenberg|In 1986 In Brooklyn New York the dysfunctional family of pseudo intellectuals composed by the university professor Bernard and the prominent writer Joan split Bernard is a selfish cheap and jealous decadent writer that rationalizes every attitude in his family and life and does not accept philistines - people that do not read books or watch movies while the unfaithful Joan is growing as a writer and has no problems with philistines Their sons the teenager Walt and the boy Frank feel the separation and take side: Walt stays with Bernard and Frank with Joan and both are affected with abnormal behaviors Frank drinks booze and smears with sperm the books in the library and a locker in the dress room of his school The messed-up and insecure Walt uses Roger Waters song Hey You in a festival as if it was of his own and breaks up with his girlfriend Sophie Meanwhile Joan has an affair with Franks tennis teacher Ivan and Bernard with his student Lili|English|USA|Nominated for 1 Oscar Another 23 wins & 47 nominations|7.4/10|92%|82/100|82|7.4|movie|$7,073,391|Samuel Goldwyn Films|The Squid and the Whale|5-Oct-05|Drama, Comedy|82|The Squid and the Whale|396403|0|71|445|30
